"","Subfamily","Tribe","Genus","Species","Sex","Abundance","SU","Strata","Trap","Date","Month","CMR","Obs","Lep"
"1","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope",NA,1,"NF4","Canopy","Can2","11/01/2016","November","","Voucher","4"
"2","Charaxinae","Anaeini","Zaretis","Zaretis_strigosus","M",1,"NF4","Canopy","Can2","11/01/2016","November","","Voucher","42"
"3","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","F",1,"NF5","Understory","Und2","11/01/2016","November","1","",""
"4","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can3","11/01/2016","November","","Voucher","72"
"5","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF6","Understory","Und1","11/01/2016","November","","Voucher","68"
"6","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF6","Understory","Und1","11/01/2016","November","","Voucher","77"
"7","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF6","Understory","Und1","11/01/2016","November","","Voucher","50"
"8","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope",NA,1,"NF6","Understory","Und1","11/01/2016","November","7","",""
"9","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF6","Canopy","Can1","11/01/2016","November","2","",""
"10","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_amphimachus","F",1,"NF6","Canopy","Can1","11/01/2016","November","","Voucher","76"
"11","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","M",1,"NF6","Understory","Und3","11/01/2016","November","3","",""
"12","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","M",1,"NF6","Understory","Und3","11/01/2016","November","4","",""
"13","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","F",1,"NF6","Understory","Und3","11/01/2016","November","5","",""
"14","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF6","Understory","Und3","11/01/2016","November","","Voucher","30"
"15","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","M",1,"NF6","Understory","Und4","11/01/2016","November","6","",""
"16","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","F",1,"NF6","Understory","Und4","11/01/2016","November","","Voucher","78"
"17","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","F",1,"NF6","Understory","Und5","11/01/2016","November","","Voucher","58"
"18","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF2","Canopy","Can2","11/02/2016","November","8","",""
"19","Charaxinae","Anaeini","Memphis","Memphis_hirta","F",1,"NF2","Canopy","Can4","11/02/2016","November","","Voucher","57"
"20","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF3","Understory","Und2","11/02/2016","November","9","",""
"21","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF3","Understory","Und2","11/02/2016","November","","Voucher","41"
"22","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_quantius","M",1,"NF3","Understory","Und2","11/02/2016","November","","Voucher","53"
"23","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF3","Understory","Und2","11/02/2016","November","","Voucher",""
"24","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima",NA,1,"NF3","Understory","Und5","11/02/2016","November","","Next_trap",""
"25","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","M",1,"NF3","Understory","Und2","11/02/2016","November","","Voucher","44"
"26","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF4","Understory","Und3","11/06/2016","November","26","",""
"27","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF4","Understory","Und4","11/06/2016","November","27","",""
"28","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF4","Canopy","Can4","11/06/2016","November","28","",""
"29","Satyrinae","Satyrini","Carminda","Carminda_paeon","M",1,"NF5","Canopy","Can2","11/03/2016","November","","Voucher","28"
"30","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","M",1,"NF6","Understory","Und1","11/03/2016","November","10","",""
"31","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF6","Understory","Und3","11/03/2016","November","11","",""
"32","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF6","Canopy","Can4","11/03/2016","November","","Voucher","79"
"33","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF2","Canopy","Can4","11/04/2016","November","","Voucher","48"
"34","Satyrinae","Satyrini","Forsterinaria","Forsterinaria_necys","F",1,"NF3","Understory","Und3","11/04/2016","November","","Voucher","60"
"35","Satyrinae","Satyrini","Paryphthimoides","Paryphthimoides_grimon","M",1,"NF3","Canopy","Can3","11/04/2016","November","","Voucher","35"
"36","Charaxinae","Preponini","Archaeoprepona","Archaeoprepona_chalciope","M",1,"NF3","Understory","Und4","11/04/2016","November","","Voucher","69"
"37","Satyrinae","Satyrini","Carminda","Carminda_paeon","F",1,"NF3","Canopy","Can4","11/04/2016","November","","Voucher","52"
"38","Satyrinae","Satyrini","Taygetis","Taygetis_ypthima","M",1,"NF3","Understory","Und5","11/04/2016","November","","Voucher","74"
