Subfamily;Tribe;Genus;Species;Sex;Abundance;SU;Strata;Trap;Date;Month;CMR;Obs;Lep
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;NA;1;NF4;Canopy;Can2;11/01/2016;November;;Voucher;4
Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;M;1;NF4;Canopy;Can2;11/01/2016;November;;Voucher;42
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF5;Understory;Und2;11/01/2016;November;1;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can3;11/01/2016;November;;Voucher;72
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und1;11/01/2016;November;;Voucher;68
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF6;Understory;Und1;11/01/2016;November;;Voucher;77
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und1;11/01/2016;November;;Voucher;50
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;NA;1;NF6;Understory;Und1;11/01/2016;November;7;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF6;Canopy;Can1;11/01/2016;November;2;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;F;1;NF6;Canopy;Can1;11/01/2016;November;;Voucher;76
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;11/01/2016;November;3;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und3;11/01/2016;November;4;;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;F;1;NF6;Understory;Und3;11/01/2016;November;5;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und3;11/01/2016;November;;Voucher;30
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;M;1;NF6;Understory;Und4;11/01/2016;November;6;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und4;11/01/2016;November;;Voucher;78
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;F;1;NF6;Understory;Und5;11/01/2016;November;;Voucher;58
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF2;Canopy;Can2;11/02/2016;November;8;;
Charaxinae;Anaeini;Memphis;Memphis_hirta;F;1;NF2;Canopy;Can4;11/02/2016;November;;Voucher;57
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;11/02/2016;November;9;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;11/02/2016;November;;Voucher;41
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;M;1;NF3;Understory;Und2;11/02/2016;November;;Voucher;53
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Understory;Und2;11/02/2016;November;;Voucher;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;NA;1;NF3;Understory;Und5;11/02/2016;November;;Next_trap;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF3;Understory;Und2;11/02/2016;November;;Voucher;44
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF4;Understory;Und3;11/06/2016;November;26;;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF4;Understory;Und4;11/06/2016;November;27;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF4;Canopy;Can4;11/06/2016;November;28;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;M;1;NF5;Canopy;Can2;11/03/2016;November;;Voucher;28
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;M;1;NF6;Understory;Und1;11/03/2016;November;10;;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF6;Understory;Und3;11/03/2016;November;11;;
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF6;Canopy;Can4;11/03/2016;November;;Voucher;79
Satyrinae;Satyrini;Carminda;Carminda_paeon;F;1;NF2;Canopy;Can4;11/04/2016;November;;Voucher;48
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_necys;F;1;NF3;Understory;Und3;11/04/2016;November;;Voucher;60
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_grimon;M;1;NF3;Canopy;Can3;11/04/2016;November;;Voucher;35
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;M;1;NF3;Understory;Und4;11/04/2016;November;;Voucher;69
