"","Archaeoprepona_amphimachus","Archaeoprepona_chalciope","Archaeoprepona_demophon","Archaeoprepona_demophoon","Blepolenis_batea","Caligo_martia","Carminda_griseldis","Carminda_paeon","Catoblepia_amphirhoe","Diaethria_candrena","Diaethria_clymena","Epiphile_hubneri","Epiphile_orea","Eryphanis_reevesii","Eteona_tisiphone","Euptychoides_castrensis","Forsterinaria_necys","Forsterinaria_pronophila","Forsterinaria_quantius","Hamadryas_epinome","Hermeuptychia_sp","Memphis_hirta","Memphis_moruus","Morpho_epistrophus","Morpho_portis","Narope_cyllastros","Opoptera_fruhstorferi","Opsiphanes_quiteria","Paryphthimoides_grimon","Praepedaliodes_phanias","Prepona_pylene","Smyrna_blomfildia","Taygetis_ypthima","Temenis_laothoe","Zaretis_strigosus"
"CNF1D",0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF1F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF1J",1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF1M",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CNF1N",0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2D",0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2F",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"CNF2J",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNF2M",4,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CNF2N",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"CNF3D",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CNF3F",0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
"CNF3J",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
